"genus","small_rel_dens","big_rel_dens","small_rel_dom","big_rel_dom"
"Acer",10.5,42.3,18.7,63.5
"Betula",0.3,3.8,0.7,2.3
"Carpinus",19.5,2.7,12.1,0.3
"Carya",0.5,0.6,0.4,0.4
"Cornus",0.5,0,0.2,0
"Fagus",0.3,0.5,0.6,0.7
"Frangula",7.5,0.1,3.7,0
"Fraxinus",38.1,0,28.8,0
"Juniperus",0,0.1,0,0
"Larix",0.9,5.8,0.8,2.3
"Ostrya",0.9,0.4,0.7,0.1
"Populus",0,1.2,0,4.6
"Prunus",0.3,0.5,0.3,0.4
"Quercus",3.3,10,3.3,12.8
"Rhamnus",0.2,0.1,0,0
"Tilia",3.3,15.1,4.5,7
"Ulmus",13.3,16.2,24.7,5.5
"Unknown",0,0.4,0,0.1
"Viburnum",0.5,0.1,0.5,0
